Name of Song,Group,Gender,Duration (MS),Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Popularity
Intro : Persona,BTS,M,171023.0,9.0,0.0,4.0,0.0278,0.469,0.87,0.0,0.313,-4.475,0.342,0.652,86.622,41.0
Boy With Luv (Feat. Halsey),BTS,M,229773.0,11.0,0.0,4.0,0.0923,0.645,0.862,0.0,0.192,-4.757,0.0965,0.798,119.991,51.0
Make It Right,BTS,M,226321.0,7.0,1.0,4.0,0.0104,0.638,0.703,0.0,0.132,-7.874,0.444,0.261,105.766,44.0
Jamais Vu,BTS,M,227275.0,8.0,1.0,4.0,0.226,0.608,0.47,0.0,0.0963,-6.73,0.0428,0.241,81.0,42.0
Dionysus,BTS,M,249215.0,7.0,1.0,4.0,0.04,0.502,0.91,0.0,0.319,-2.769,0.107,0.588,176.084,44.0
Interlude : Shadow,BTS,M,259821.0,9.0,0.0,4.0,0.115,0.385,0.798,0.0,0.181,-6.439,0.483,0.141,149.756,55.0
Black Swan,BTS,M,198261.0,2.0,0.0,4.0,0.137,0.719,0.758,0.0,0.129,-5.167,0.0851,0.49,147.023,57.0
Filter,BTS,M,180221.0,10.0,0.0,4.0,0.0222,0.781,0.762,0.0,0.121,-5.188,0.0626,0.86,110.042,61.0
My Time,BTS,M,234458.0,0.0,0.0,4.0,0.151,0.674,0.64,0.0,0.0925,-5.139,0.0339,0.664,99.908,59.0
Louder than bombs,BTS,M,217404.0,0.0,0.0,4.0,0.0433,0.643,0.667,0.0,0.0904,-6.993,0.152,0.485,145.999,56.0
ON,BTS,M,246381.0,9.0,0.0,4.0,0.118,0.583,0.817,0.0,0.338,-5.146,0.0987,0.438,105.936,65.0
UGH!,BTS,M,225012.0,10.0,0.0,4.0,0.0394,0.72,0.824,0.0,0.0509,-5.086,0.128,0.333,165.998,56.0
00:00 (Zero O’Clock),BTS,M,250296.0,1.0,1.0,4.0,0.0802,0.566,0.548,0.0,0.11,-6.456,0.0579,0.196,157.999,59.0
Inner Child,BTS,M,233266.0,11.0,1.0,4.0,0.017,0.589,0.696,0.0,0.0808,-7.981,0.0725,0.332,134.953,58.0
Friends,BTS,M,199339.0,1.0,1.0,4.0,0.0668,0.55,0.747,0.0,0.0536,-5.211,0.0407,0.648,79.98,59.0
Moon,BTS,M,208590.0,6.0,1.0,4.0,0.0104,0.703,0.646,0.0,0.191,-6.658,0.0596,0.64,141.87,57.0
Respect,BTS,M,237540.0,0.0,1.0,4.0,0.00485,0.661,0.84,0.0,0.287,-4.805,0.116,0.524,91.457,53.0
We are Bulletproof : the Eternal,BTS,M,261543.0,9.0,0.0,4.0,0.225,0.526,0.575,0.0,0.108,-5.215,0.0309,0.19,84.047,58.0
Outro : Ego,BTS,M,196199.0,0.0,1.0,4.0,0.0121,0.808,0.903,0.000233,0.0993,-3.106,0.0958,0.473,116.988,55.0
ON (Feat. Sia),BTS,M,246816.0,9.0,0.0,4.0,0.137,0.591,0.848,0.0,0.372,-4.397,0.0828,0.386,105.922,59.0
Intro : Persona,BTS,M,171023.0,9.0,0.0,4.0,0.0278,0.469,0.87,0.0,0.313,-4.475,0.342,0.652,86.622,70.0
Boy With Luv (Feat. Halsey),BTS,M,229773.0,11.0,0.0,4.0,0.0923,0.645,0.862,0.0,0.192,-4.757,0.0965,0.798,119.991,71.0
Make It Right,BTS,M,226321.0,7.0,1.0,4.0,0.0104,0.638,0.703,0.0,0.132,-7.874,0.444,0.261,105.766,71.0
Jamais Vu,BTS,M,227275.0,8.0,1.0,4.0,0.226,0.608,0.47,0.0,0.0963,-6.73,0.0428,0.241,81.0,71.0
Dionysus,BTS,M,249215.0,7.0,1.0,4.0,0.04,0.502,0.91,0.0,0.319,-2.769,0.107,0.588,176.084,71.0
Interlude : Shadow,BTS,M,259821.0,9.0,0.0,4.0,0.115,0.385,0.798,0.0,0.181,-6.439,0.483,0.141,149.756,77.0
Black Swan,BTS,M,198261.0,2.0,0.0,4.0,0.137,0.719,0.758,0.0,0.129,-5.167,0.0851,0.49,147.023,78.0
Filter,BTS,M,180221.0,10.0,0.0,4.0,0.0222,0.781,0.762,0.0,0.121,-5.188,0.0626,0.86,110.042,82.0
My Time,BTS,M,234458.0,0.0,0.0,4.0,0.151,0.674,0.64,0.0,0.0925,-5.139,0.0339,0.664,99.908,81.0
Louder than bombs,BTS,M,217404.0,0.0,0.0,4.0,0.0433,0.643,0.667,0.0,0.0904,-6.993,0.152,0.485,145.999,79.0
